#自建
/d	的
',k	依
',k	偯
',n	僮
',o	信
',o	倍
',q	儲
',v	位
',x	倣
',x	傚
',x	佼
'.	凡
'.	尤
'.	丸
'.i	住
'.i	隹
'.m	雋
'.o	售
'.w	焦
'.x	雙
'.x	隻
'.y	集
'/'	傀
'/,	風
'/.	傯
'//	侈
'//	爹
'/a	佚
'/d	鳩
'/d	偽
'/i	凰
'/j	俐
'/l	俄
'/m	僑
'/n	任
'/o	颳
'/q	伯
'/r	賃
'/t	件
'/t	仟
'/t	俾
'/w	係
'/x	傻
'/x	倭
'/y	侏
'/z	俘
'a	伕
'a	釜
'a.	伶
'a.	伏
'aa	儉
'aa	俠
'ab	鄭
'ah	尬
'ai	佺
'aj	偷
'aj	倚
'al	俺
'am	倫
'ao	谷
'ao	傖
'ap	伶
'aq	儈
'at	俸
'aw	僚
'b	仍
'bb	爺
'ca	奠
'ca	猷
'ce	酋
'ci	儸
'cj	尊
'cp	仰
'cq	曾
'cq	僭
'cr	價
'cx	偃
'd	分
'd.	忿
'd.	仞
'd/	伊
'd/	僇
'da	候
'da	侯
'dc	儘
'dc	盆
'dd	翁
'dh	佛
'dl	他
'do	伺
'do	伽
'do	佝
'dr	貧
'dr	頒
'dt	偉
'du	岔
'dx	發
'dx	侵
'e	祭
'e'	凳
'e,	風
'e/	夙
'ea	癸
'ec	偭
'ed	兮
'ed	鳳
'ee	仁
'ee	俳
'ee	僵
'eh	發
'ej	例
'ej	倒
'ek	倀
'el	佻
'el	儷
'em	倆
'em	儒
'eq	佰
'ev	登
'ex	便
'ex	優
'ex	佞
'fi	佐
'fj	俯
'fl	低
'fm	傭
'fm	侑
'fo	佑
'ft	佈
'gi	倥
'gj	佇
'gl	佗
'go	倌
'gr	儐
'gz	傢
'h'	供
'h.	憊
'ha	僕
'hm	備
'hn	僅
'ho	偌
'hq	借
'i	伍
'i	仆
'ia	似
'io	佔
'ir	偵
'ix	攸
'j	仃
'j.	付
'jo	何
'kc	尷
'kd	傷
'ke	作
'ko	侮
'l	代
'l	伐
'l/	化
'le	化
'lk	袋
'll	仳
'lq	偕
'lr	傾
'lr	貨
'lr	貸
'lt	健
'lu	岱
'lw	黛
'm	們
'm'	俱
'm'	颶
'mm	僩
'mt	佣
'n	仕
'n'	僥
'n'	儳
'n.	您
'n.	慾
'na	欲
'nj	侍
'nj	儔
'nk	俵
'nl	佬
'nm	倩
'nn	佳
'no	咨
'no	僖
'nr	債
'nt	倖
'nw	你
'nx	傲
'nz	像
'o	佃
'o'	兌
'o'	侃
'o'	僎
'oa	促
'ok	偎
'om	偶
'on	堡
'on	俚
'oo	個
'oo	侶
'oo	儡
'op	卻
'ox	儼
'oy	保
'pd	侷
'pi	僱
'pm	偏
'po	倨
'pt	僻
'pu	倔
'px	假
'px	伋
'q	旭
'qd	颺
'qe	但
'qk	儂
'qq	倡
'rj	側
's	公
'sa	俟
'sm	胤
'so	颱
'sr	頌
'sx	俊
'ew	係
't	什
'te	值
'tj	傳
'tj	傅
'to	估
'tx	使
'tx	做
'tx	仗
'ty	傑
'u	仙
'u'	倪
'ui	催
'ux	颼
'v	佯
'vb	鄧
'vd	偽
'vh	併
'vl	儀
,vm	商
'vq	僧
'w	伙
'wl	倦
'wm	倘
'wm	俏
'wo	儅
'wr	償
'wt	伴
'ww	儻
'x	父
'x.	悠
'x/	修
'xa	倏
'xl	爸
'xm	脩
'xq	偺
'xt	斧
'xw	鯈
'xy	條
'xy	絛
'y	休
'y	朵
'ye	体
'yj	剁
'z	仔
'zm	俑
,'	六
,'	亢
,''	說
,''	兗
,''	蛻
,',	諷
,',	颯
,'i	誰
,'i	離
,'i	雜
,'k	袞
,'k	褒
,'l	訛
,'n	塾
,'s	訟
,'s	蚣
,'v	證
,'w	熟
,'x	交
,'x	設
,'x	夜
,'x	毅
,,	串
,,'	競
,,,	蟲
,,.	患
,,/	諺
,,a	該
,,c	蠱
,,d	訪
,,d	謗
,,d	螃
,,k	讓
,,l	識
,,l	虻
,,n	堃
,,m	謫
,,q	諳
,,t	辯
,,t	諦
,,t	誶
,,t	蟀
,,t	蟑
,,w	諒
,,x	蚊
,,x	詨
,,x	蛟
,,x	婁
,,x	螻
,,z	諄
,,z	蠔
,.	忠
,.;	詠
,.b	螂
,.c	謐
,.i	註
,.i	蛀
,.t	辨
,yi	辨
,.w	譙
,/.	蟋
,/b	誘
,/e	蚯
,/i	蝗
,/i	韹
,/j	謝
,/j	諍
,/j	蜊
,/l	託
,/l	蛾
,/l	氈
,/n	望
,/o	話
,/o	蟠
,/o	蛞
,/r	顏
,/t	辨
,/t	蝌
,/u	謠
,/x	諼
,/x	諉
,/y	誅
,/y	蛛
,;t	率
,;t	蚪
,a.	蛉
,a/	診
,a;	於
,ad	誇
,ad	劾
,ai	詮
,aj	刻
,aj	諭
,aj	蝓
,al	讖
,am	論
,ao	蛤
,at	卒
,c	盅
,cj	訝
,cj	蚜
,cl	蠅
,ct	譯
,ct	譚
,d	方
,d.	認
,d/	謬
,da	訣
,dh	齊
,dh	齋
,di	蚓
,dl	記
,dl	訑
,do	詞
,do	詔
,do	韶
,dq	詢
,dt	辦
,dt	諱
,dx	放
,ee	証
,ee	誹
,ej	訏
,el	斌
,em	蠕
,en	蛭
,eo	言
,eo	蝠
,er	貴
,er	顫
,et	評
,et	訐
,ew	螞
,f.	訴
,f/	彥
,f/	瓤
,fa	讞
,fe	蚯
,fl	詆
,fm	蠣
,fn	產
,fo	詬
,fr	顏
,ft	新
,ft	訴
,ft	瓣
,ft	訢
,fw	詼
,fx	詖
,g'	螟
,gd	旁
,ge	誼
,gl	蛇
,gl	詫
,gl	蜿
,gt	帝
,h'	謊
,ha	蟆
,ha	謨
,he	蚶
,hh	蟒
,hj	劑
,hl	諶
,hm	講
,hn	謹
,ho	諾
,ht	譁
,hx	護
,hy	謀
,hy	諜
,hy	蝶
,i	虹
,i	卞
,i'	龔
,ia	誣
,ib	聾
,ii	訓
,ik	襲
,il	龍
,in	壟
,io	站
,io	語
,ix	敲
,j.	討
,jo	訶
,jo	蚵
,k	衣
,k'	旗
,ka	族
,ka	旋
,ke	蚱
,ke	詐
,kj	旖
,kk	旅
,kl	施
,kl	訖
,kl	旎
,km	裔
,km	膂
,kn	旌
,ko	蜘
,ko	誨
,kt	許
,l	亡
,l	曳
,l'	贏
,l'	嬴
,l'	羸
,l.	忘
,ld	誠
,le	誕
,lh	誡
,li	試
,ll	誕
,lm	肓
,ln	蜓
,lo	譴
,lq	諧
,lq	盲
,lq	詣
,lt	訊
,lx	妄
,ly	謎
,ly	杗
,m'	贏
,m'	嬴
,m'	羸
,ma	訥
,mb	鄗
,me	蛆
,me	詛
,mm	蝸
,mo	調
,mo	商
,mo	蜩
,mx	敵
,my	斕
,n'	讒
,n'	蟯
,n.	誌
,na	畝
,nj	詩
,nj	剷
,nk	褻
,nl	詭
,nm	請
,nm	靖
,nm	蜻
,nn	蛙
,no	諮
,no	詰
,no	蟾
,no	譆
,no	譫
,nq	諸
,nr	讀
,nr	讚
,nu	諂
,o'	亮
,oa	誤
,oa	蜈
,ob	部
,oe	蟈
,oi	訃
,oi	訌
,oj	訂
,oj	討
,oj	剖
,oj	亭
,ok	哀
,ok	裏
,ok	裹
,ol	毫
,ol	亳
,om	高
,om	謂
,om	膏
,oo	蛔
,or	韻
,ot	計
,ot	蟬
,ou	訕
,ov	詳
,ow	京
,ow	烹
,ow	螺
,oy	課
,oy	稟
,oy	譟
,oz	享
,oz	豪
,oz	亨
,pl	氓
,pm	蝙
,px	蝦
,q	蛐
,q'	親
,q'	蜆
,qa	蠍
,qd	暢
,qd	蜴
,qk	衰
,qo	竭
,qo	謁
,s	玄
,s'	充
,sa	亥
,si	雍
,sl	蠟
,sl	譏
,sl	甕
,sm	育
,sn	壅
,so	畜
,st	牽
,st	辮
,sx	竣
,sy	棄
,t	市
,t	蚌
,t/	彰
,tm	誧
,tm	蝴
,to	蛄
,to	啻
,to	詁
,ua	諛
,uk	裒
,um	端
,v	立
,v'	竟
,v.	意
,vd	旁
,vl	議
,vl	蟻
,vn	童
,vq	音
,vq	譜
,vt	章
,vt	辛
,vt	帝
,vw	謙
,vx	妾
,w	亦
,w'	就
,wa	奕
,wd	彎
,wh	弈
,wl	蜷
,wm	誚
,wn	螳
,wt	帟
,ww	談
,ww	讜
,wx	變
,x	文
,x	史
,x/	彥
,xb	郊
,xd	效
,xn	產
,xo	吝
,xo	詻
,xr	贛
,xt	蜂
,xw	紊
,xx	數
,xx	效
,y'	親
,yc	諫
,yo	辣
,yt	蜥
,z'	孰
,zb	郭
,zc	蜢
,zd	鶉
,zi	誑
,zm	誦
,zm	蛹
,zm	譎
,zx	敦
.''	悅
.'.	怵
.'i	惟
.'s	忪
.,.	憶
.,k	懷
.,l	忙
.,n	憧
.,y	懍
.,z	惇
..w	憔
./	必
./'	慨
./'	愧
./a	懊
./c	恤
./d	慟
./i	惶
./n	性
./o	恬
./q	怕
./w	愀
./z	悸
.,t	悴
.;	永
.aj	愉
.al	懺
.ao	恰
.ao	愴
.bb	懾
.ca	愜
.cd	愣
.cy	慄
.d	忸
.d.	惚
.da	快
.dh	怫
.ee	恆
.ee	恒
.ee	怔
.ek	悵
.em	懦
.f;	慷
.fm	惰
.fm	慵
.fo	惦
.ft	怖
.fw	恢
.g'	忱
.gl	惋
.h'	慌
.hn	懂
.hq	惜
.hq	懵
.i	主
.ii	州
.io	悟
.it	悼
.j.	忖
.ko	悔
.kw	憮
.kx	愎
.ky	愾
.l'	慎
.l.	憾
.ma	怏
.ml	惘
.mo	恫
.mo	惆
.mx	憫
.nj	恃
.nm	情
.no	誥
.ns	怯
.nt	悻
.nt	懈
.od	愕
.or	慣
.ot	憚
.pl	怩
.qc	慍
.qd	惕
.qe	怛
.qi	懼
.qk	良
.qk	恨
.qn	惺
.qo	愒
.qt	悍
.qw	憬
.qx	慢
.rj	惻
.s/	慘
.sb	郎
.sm	朗
.so	怡
.so	惱
.t'	慎
.tr	憤
.tt	慚
.tx	悽
.tz	悖
.um	惴
.uv	愷
.vd	悌
.vq	憎
.w'	恍
.wm	悄
.wt	憐
.xn	怪
.xo	恪
.yo	悚
.yr	懶
.z	之
/''	稅
/'.	慇
/'c	盤
/'i	稚
/'i	雞
/'j	掰
/'o	船
/'o	磐
/'o	谿
/'q	稽
/'r	頹
/'u	嵇
/'x	般
/'x	段
/'x	役
/'x	殷
/'y	躲
/'y	槃
/'y	魅
/,'	航
/,d	彷
/,d	舫
/,d	徬
/,m	稿
/,m	犒
/,m	禹
/,m	魑
/,s	舷
/,t	辭
/,x	徹
/,x	皎
/./	秘
/.i	往
/.z	乏
//	多
//'	魏
//'	魄
//.	穩
//.	憩
///	移
///	穆
//a	秩
//i	徨
//j	衝
//m	稱
//n	種
//n	牲
//q	舶
//r	須
//t	舜
//u	稻
//w	舔
/;j	衍
/;t	科
/;t	魁
/a	失
/a	久
/a	夭
/a.	稔
/a.	慫
/aa	從
/ab	聳
/aj	犄
/aj	銜
/ak	飧
/am	喬
/ao	吞
/ao	艙
/aw	然
/aw	灸
/aw	忝
/ay	徐
/c	血
/ca	眾
/co	軀
/cp	卹
/ct	釋
/cz	眾
/d.	的
/d/	物
/d/	穋
/d;	黎
/da	鴃
/dd	翻
/dd	翱
/dd	鴛
/dh	彿
/dj	衛
/dj	爭
/dl	牠
/do	夠
/dq	徇
/dt	律
/dt	歸
/dw	為
/e.	愆
/eb	邱
/ee	征
/ee	徘
/ei	徑
/ej	行
/em	魎
/et	師
/et	秤
/et	拜
/et	鼾
/fl	牴
/fl	舐
/fq	看
/fq	循
/fx	彼
/fx	爰
/fx	皈
/fx	舨
/g'	皖
/g'	夤
/gl	舵
/gl	鴕
/gx	受
/gx	愛
/gz	稼
/h	升
/he	甜
/hj	劓
/hn	垂
/hx	穫
/i	外
/i'	兵
/i/	乒
/i/	乓
/ia	徙
/ie	丘
/ii	川
/ij	衙
/il	穢
/io	黏
/io	釉
/iu	岳
/j	手
/jd	躬
/jj	射
/jj	掣
/jk	製
/jl	我
/jn	牡
/jt	犁
/jx	牧
/jy	梨
/kc	艦
/kp	御
/kx	復
/kx	馥
/l	毛
/l.	怨
/l/	牝
/ld	鵝
/ln	艇
/lp	即
/lt	毽
/m,	舟
/m.	舟
/ma	秧
/ma	奧
/md	粵
/me	租
/ml	亂
/ml	魍
/mo	向
/mo	稠
/mu	舢
/n	生
/n	壬
/n'	先
/na	徒
/nb	郵
/nd	動
/ne	靠
/nj	待
/nj	特
/nj	衡
/nj	街
/no	告
/no	皓
/no	穡
/nr	積
/nr	贊
/nr	犢
/ns	丟
/nx	稜
/o	名
/o'	鬼
/ob	鄱
/od	烏
/od	甥
/od	鵠
/oj	刮
/on	程
/oo	徊
/ot	卑
/ot	阜
/ot	帥
/ox	囪
/ox	稷
/oy	稞
/pe	禦
/q	白
/q	自
/q'	覓
/q.	息
/q;	泉
/qa	臭
/qd	島
/qd	鳥
/qd	梟
/qh	鼻
/qi	皇
/qj	得
/qj	身
/qj	衢
/qk	很
/qk	裊
/qk	穠
/ql	皂
/qt	帛
/qt	稈
/qu	島
/qw	鳥
/qy	皋
/qy	臬
/qy	梟
/s	么
/sa	奚
/sj	爵
/sl	胤
/sw	系
/sx	後
/t	千
/t	牛
/t	舛
/t.	德
/t.	穗
/t;	毬
/tj	制
/tl	乖
/tn	重
/tn	垂
/to	舌
/to	牯
/ty	桀
/u	舀
/ud	鷂
/uv	皚
/ux	微
/ux	徵
/ux	艘
/ux	徽
/ux	黴
/v	徉
/vl	犧
/w	炙
/w.	悉
/w.	愁
/w/	秒
/wd	勳
/wj	乎
/wm	稍
/wm	躺
/wm	徜
/wo	番
/ww	毯
/wy	釆
/x	妥
/x.	懲
/xn	徑
/xt	稀
/y	禾
/y	朱
/y	采
/y'	禿
/y/	彩
/y;	黍
/ya	徠
/yb	秀
/yd	秉
/yj	利
/yj	術
/yj	剩
/yl	乘
/yo	和
/yq	香
/ys	私
/yu	秈
/yw	秋
/yx	委
/yy	秣
/yz	季
/z	孚
/zc	艋
/zl	乳
;'.	汍
;'.	汎
;'a	濮
;'c	溢
;'d	汾
;'i	准
;'i	淮
;'o	沿
;'o	浴
;'v	澄
;'x	沒
;'x	没
;'x	潑
;'y	染
;'y	滌
;,	沖
;,'	流
;,'	沆
;,'	瀛
;,;	淤
;,a	漩
;,d	滂
;,e	澶
;,h	濟
;,i	汴
;,k	滾
;,l	洩
;,m	滴
;,m	漓
;,n	潼
;,o	涪
;,r	潰
;,t	沛
;,t	淬
;,t	漳
;,t	滸
;,v	泣
;,w	涼
;,x	液
;,x	澈
;,x	汶
;,y	凜
;,z	游
;,z	淳
;,z	濠
;.	沁
;./	泌
;.;	泳
;.i	注
;.i	洲
;.k	浪
;.t	準
;/	汐
;/'	洗
;/'	溉
;/a	沃
;/a	溪
;/a	溴
;/a	澳
;/c	洫
;/i	湟
;/j	淨
;/n	淫
;/n	湩
;/o	活
;/o	潘
;/q	泊
;/q	洎
;/t	湃
;/u	滔
;/w	添
;/x	激
;/x	湲
;/x	逶
;/z	浮
;/z	泛
;;	冰
;a	淦
;a.	冷
;a.	汰
;a.	泠
;aa	浹
;aa	湊
;aa	瀲
;aj	渝
;al	淹
;am	淪
;an	塗
;ao	滄
;ao	洽
;ap	冷
;ap	泠
;aw	潦
;b	洱
;c	泗
;cd	濁
;ce	酒
;ce	漂
;ck	澴
;cl	澠
;cn	湮
;cq	潛
;ct	澤
;ct	潭
;cy	渠
;cy	溧
;d.	涊
;da	決
;dd	溺
;de	澀
;dh	沸
;di	濯
;dj	潯
;dk	漲
;dl	池
;dl	泡
;dl	氾
;dm	瀰
;do	溜
;do	沼
;dq	洵
;ds	泓
;dt	津
;du	淘
;du	洶
;dw	潔
;dx	沒
;dx	浸
;dy	梁
;dy	粱
;e'	沅
;e.	憑
;ec	湎
;ed	污
;ed	沔
;ee	沍
;ee	洹
;ei	涇
;ej	汙
;ej	冽
;ej	洌
;el	洮
;el	灑
;em	濡
;em	灞
;en	溼
;et	汗
;eu	涵
;ew	馮
;f.	濾
;fc	瀘
;fe	瀝
;fk	派
;fl	泜
;fm	洧
;fn	涯
;fq	湣
;ft	沂
;fw	源
;fw	濂
;fx	波
;fx	渡
;fx	婆
;g'	沉
;g'	沈
;g'	演
;gd	瀉
;ge	淙
;ge	渲
;gj	濘
;gl	沱
;go	溶
;go	瀋
;gr	濱
;gt	渾
;gt	滓
;gw	淙
;gy	深
;h	淵
;h'	洪
;h'	淇
;h.	懣
;ha	漢
;ha	漠
;hh	瀟
;hi	灌
;hi	灘
;hl	港
;hl	泄
;hl	湛
;hm	滿
;hm	溝
;hq	漕
;ht	滯
;hx	濩
;hz	濛
;i	江
;i	汪
;i/	涉
;id	鴻
;io	油
;io	沾
;io	滷
;iq	濬
;ir	瀕
;ix	淑
;j	汀
;jo	河
;jt	浙
;kc	濫
;kl	汽
;ko	海
;l'	滇
;la	凝
;le	涎
;ll	淺
;ll	沘
;lo	減
;lt	汛
;lt	漣
;lw	滅
;ly	柒
;ma	泱
;me	沮
;mi	潤
;mm	滑
;mm	渦
;mn	潤
;mo	洞
;mo	凋
;mq	澗
;my	瀾
;n'	澆
;n'	洗
;n.	恣
;n/	澎
;na	次
;na	渙
;nc	盜
;nc	溘
;nj	濤
;nl	瓷
;nm	清
;no	浩
;no	澹
;nq	渚
;nr	資
;nr	漬
;nr	瀆
;ns	法
;nw	漁
;nx	姿
;nx	凌
;o'	況
;o'	潠
;oa	泅
;ol	浥
;om	涓
;om	渭
;on	浬
;oo	涸
;ow	漯
;oy	澡
;pa	淚
;pj	涮
;pl	泥
;pl	泯
;pl	滬
;pm	漏
;pn	渥
;pq	湄
;px	澱
;px	汲
;pz	潺
;q	汨
;q/	渺
;q;	瀑
;qc	溫
;qc	盪
;qd	湯
;qk	濃
;ql	混
;qn	涅
;qo	渴
;qv	澧
;qw	濕
;qw	燙
;qx	漫
;rj	測
;rl	濺
;s/	滲
;sd	灣
;si	濰
;sj	瀏
;so	治
;so	冶
;so	淄
;sp	泖
;sx	浚
;sy	灤
;t	斗
;t	汁
;td	渤
;td	瀚
;tj	溥
;tl	沌
;tm	湖
;tm	潮
;tm	浦
;to	沽
;tt	漸
;tx	淒
;u	汕
;ud	潟
;um	湍
;uz	涔
;v	洋
;v;	漾
;vc	溢
;vd	涕
;vj	湔
;vm	溯
;vs	滋
;w'	洸
;w/	沙
;wk	裟
;wm	消
;wm	淌
;ww	淡
;ww	鯊
;wx	娑
;x	汝
;xm	淆
;xo	洛
;y	沫
;y	沐
;y	沬
;y;	漆
;ya	漱
;ye	渣
;ym	潸
;yq	凍
;yq	湘
;yr	瀨
;ys	淞
;yt	淅
;yy	淋
;z	涿
;zd	湧
;zj	漪
;zm	涌
;zr	澦
;zu	涵
a''	銳
a'.	釩
a'c	鎰
a'h	餅
a'h	鉼
a'i	錐
a'j	奪
a'o	奮
a'o	鉛
a,'	鏡
a,,	蠢
a,a	鏃
a,d	鎊
a,k	鑲
a,l	奄
a,m	禽
a,m	鎬
a,m	鏑
a,n	鐘
a,n	鏟
a,r	饋
a,s	鉉
a,t	鋅
a,x	鉸
a,x	餃
a,x	鏤
a.	太
a.	犬
a./	鉍
a.d	鴒
a.m	鐫
a.o	倉
a.r	領
a/'	銑
a/'	餽
a/a	奏
a/b	銹
a/d	鎢
a/j	錚
a/l	餓
a/m	餉
a/n	鍾
a/n	飪
a/n	錘
a/o	銘
a/q	鉑
a/t	錦
a/w	鍬
a/x	餒
a/x	鍛
a/x	鍰
a/y	秦
a/y	鎳
a/y	銖
a;	泰
a;m	脊
a;t	斜
aa	鈇
aa.	鈴
aa.	鈦
aa/	麥
aaa	夾
aaa	鑫
aai	銓
aaj	劍
aaj	錡
aam	鑰
aan	坐
aan	銼
aao	鎗
aap	鈴
aaq	替
aar	頰
aat	傘
aat	輦
aax	斂
aay	餘
aaz	鈐
abb	鑷
acd	鉅
acd	鐲
ace	鏢
aci	鑼
aco	奩
acq	會
act	鐸
ad	鈕
ad	夷
ad.	釣
ad;	鈞
ada	鍥
add	翎
add	翕
adh	鏽
adl	飽
adl	匏
adl	鉋
ado	飼
ado	鉤
ado	餾
ads	鉤
ady	麴
ae	奈
aea	奏
aec	麵
aed	鈣
aed	夸
aei	鋞
aem	鎘
aeo	鐳
aeq	奭
aes	套
af/	瓠
afc	鑪
aft	鈽
afw	鐮
afw	鑣
afx	飯
afx	鍍
afx	鈹
afx	鈑
afx	鈸
aga	錠
ago	館
ago	鎔
agx	銨
ah	介
ahe	鉗
ahn	饉
aho	錨
ahq	錯
ai	全
ai	釙
ai	釭
ai.	鈺
aie	企
aii	釧
aij	釗
aio	鈾
aj	釘
ajo	奇
akc	鑑
akd	飭
akj	鏘
akt	飾
al'	鎮
ald	鵪
all	錢
all	餞
alo	鎚
alt	鍵
alt	鏈
am	脊
am'	覦
am.	愈
ama	鈉
amd	鋤
ame	俎
amh	侖
amj	俞
amm	鍋
amo	銅
amu	鋼
an	全
an'	鐃
an'	饒
an'	饞
ana	飲
ana	欽
ana	歙
and	銬
anj	鑄
ank	錶
ann	奎
anq	奢
anr	鑽
anu	餡
ao	合
ao	釦
ao	鈿
ao;	錄
aob	郃
aoc	盒
aod	鍔
aod	鴿
aoi	鉀
aoj	創
aoj	拿
aok	餵
aon	鋰
aoo	鋁
aoo	錮
aop	命
aor	頜
aor	頷
aow	鏍
ap	令
apd	鴒
apo	鋸
apr	領
aq	春
aq'	規
aq'	覦
aq;	鑤
aqd	錫
aqd	鍚
aqj	劊
aqk	食
aqk	銀
aql	錕
aql	餛
aqo	倉
aqs	飠
aqt	銲
aqx	鏝
aqx	饅
ar	鋇
as'	飢
as,	蝕
asb	餌
asl	饑
aso	飴
aso	錙
asp	鉚
asy	鑠
at	針
at	奉
at'	鎮
ath	奔
atl	鐵
atl	鈍
atl	飩
atm	舖
atm	鋪
ato	舍
ato	鈷
au	舂
auv	鎧
aux	餿
ava	鎂
avc	鎰
avd	銻
avh	餅
avh	鉼
aw/	鈔
awm	銷
awn	鏜
awo	鐺
awr	鎖
ax.	釵
axa	麩
axm	餚
axn	鏗
axo	鉻
axt	鋒
axx	爽
ay	余
ayc	鍊
ayx	敘
az	今
